report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-04-30,Norte,region,zika_reported,BR0011,NA,NA,8379,cases
2016-04-30,Acre,state,zika_reported,BR0011,NA,NA,732,cases
2016-04-30,Amapa,state,zika_reported,BR0011,NA,NA,122,cases
2016-04-30,Amazonas,state,zika_reported,BR0011,NA,NA,2172,cases
2016-04-30,Para,state,zika_reported,BR0011,NA,NA,1249,cases
2016-04-30,Rondonia,state,zika_reported,BR0011,NA,NA,783,cases
2016-04-30,Roraima,state,zika_reported,BR0011,NA,NA,57,cases
2016-04-30,Tocantins,state,zika_reported,BR0011,NA,NA,3264,cases
2016-04-30,Nordeste,region,zika_reported,BR0011,NA,NA,47709,cases
2016-04-30,Alagoas,state,zika_reported,BR0011,NA,NA,2206,cases
2016-04-30,Bahia,state,zika_reported,BR0011,NA,NA,37836,cases
2016-04-30,Ceara,state,zika_reported,BR0011,NA,NA,832,cases
2016-04-30,Maranhao,state,zika_reported,BR0011,NA,NA,1954,cases
2016-04-30,Paraiba,state,zika_reported,BR0011,NA,NA,2275,cases
2016-04-30,Pernambuco,state,zika_reported,BR0011,NA,NA,450,cases
2016-04-30,Piaui,state,zika_reported,BR0011,NA,NA,82,cases
2016-04-30,Rio Grande do Norte,state,zika_reported,BR0011,NA,NA,1647,cases
2016-04-30,Sergipe,state,zika_reported,BR0011,NA,NA,427,cases
2016-04-30,Sudeste,region,zika_reported,BR0011,NA,NA,48027,cases
2016-04-30,Espirito Santo,state,zika_reported,BR0011,NA,NA,1900,cases
2016-04-30,Minas Gerais,state,zika_reported,BR0011,NA,NA,10553,cases
2016-04-30,Rio de Janeiro,state,zika_reported,BR0011,NA,NA,32312,cases
2016-04-30,Sao Paulo,state,zika_reported,BR0011,NA,NA,3262,cases
2016-04-30,Sul,region,zika_reported,BR0011,NA,NA,2343,cases
2016-04-30,Parana,state,zika_reported,BR0011,NA,NA,1965,cases
2016-04-30,Rio Grande do Sul,state,zika_reported,BR0011,NA,NA,287,cases
2016-04-30,Santa Catarina,state,zika_reported,BR0011,NA,NA,91,cases
2016-04-30,Centro-Oeste,region,zika_reported,BR0011,NA,NA,21364,cases
2016-04-30,Distrito Federal,state,zika_reported,BR0011,NA,NA,295,cases
2016-04-30,Goias,state,zika_reported,BR0011,NA,NA,2278,cases
2016-04-30,Mato Grosso,state,zika_reported,BR0011,NA,NA,18227,cases
2016-04-30,Mato Grosso do Sul,state,zika_reported,BR0011,NA,NA,564,cases
2016-04-30,Brasil,country,zika_reported,BR0011,NA,NA,127822,cases
